She advanced to the semi-final where she defeated New Brunswick's Andrea Kelly.,Elle avança aux semi-finales où elle gagna sur l'équipe d'Andrea Kelly du Nouveau-Brunswick.
After six months other possible candidates had also failed and Prospero Lambertini Archbishop of Bologna who had been a cardinal since 9 December 1726 was elected.,Après six mois d'élections infructueuses et l'élimination d'autres candidats potentiels Prospero Lambertini archevêque de Bologne qui était cardinal depuis le 9 décembre 1726 est élu pape.
It acted ineffectively against a military intervention.,Il agit faiblement contre une intervention militaire.
South Africa resumed official international cricket in 1991 with a short tour of India and participation in the 1992 Cricket World Cup in Australia and New Zealand.,L'Afrique du Sud fait son retour sur la scène internationale en 1991 lors d'une tournée en Inde puis lors de la Coupe du monde 1992 organisée en Australie et en Nouvelle-Zélande.
Connected to Grand Central Terminal by an underground concourse it was trimmed in marble and furnished with Art Deco lighting fixtures and leather sofas.,Relié à Grand Central Terminal par un souterrain il a été taillé dans le marbre et meublé avec des luminaires Art déco et des canapés en cuir.
It contains 5 buildings.,Elle compte cinq bâtiments.
The gang members decide to stand their ground and exact violent retribution by selecting a woman Maria (Maria Nazionale) as their next victim as her son has joined a clan of Secondigliano secessionists.,Le gang décide de se venger de la même manière en choisissant une femme Maria comme leur prochaine victime parce que son fils Simone a rejoint le clan des sécessionnistes.
Early photovoltaic systems output decreased as much as 10%/year but as of 2010 the median degradation rate was 0.5%/year with modules made after 2000 having a significantly lower degradation rate so that a system would lose only 12% of its output performance in 25 years.,La production des premiers systèmes photovoltaïques a diminué jusqu'à 10 % par an mais à partir de 2010 le taux de dégradation était de 05 % par an les modules fabriqués après 2000 ayant un taux de dégradation nettement inférieur de sorte qu'un système perdrait seulement 12 % de son rendement en 25 ans.
The Hannibal directive triggered instant aerial surveillance and airstrikes inside Lebanon to limit Hezbollah's ability to move the soldiers it had seized.,La directive Hannibal a déclenché la mise en place immédiate d'une surveillance et de frappes aériennes à l'intérieur du territoire libanais destinées à limiter la capacité du Hezbollah à déplacer les soldats qu'il avait capturés.
1800 - Member of Parliament and Judge Pierre-Amable de Bonne presents a draft bill to create the Royal Institute on February 7.,1800 - Le 7 février Amable De Bonne juge et membre de l’Assemblée législative présente un projet de loi visant à créer l’Institut royal.
He hoped that it would be the example for other NES games to follow when being ported to the Game Boy Color.,Il espérait de ce fait même que ce jeu donne l'exemple aux autres portages de jeux NES à venir sur Game Boy Color.
It has also been a partner of the Pôle France Voile in Brest since 2007 and works for the professional integration of former sportsmen and sportswomen.,Il est aussi partenaire du Pôle France Voile de Brest depuis 2007 et œuvre à l’insertion professionnelle des sportifs en reconversion.
Business was largely halted for 10 days.,Pratiquement toute l’activité est paralysée pendant dix jours.
In September 2018 it was announced that Ralph Fiennes and Harris Dickinson would star in the prequel.,En septembre 2018 Ralph Fiennes et Harris Dickinson rejoignent le projet..
After Bull Run Johnston assisted Beauregard and William Porcher Miles in the design and production of the Confederate Battle Flag.,Après Bull Run Johnston assiste Beauregard et William Porcher Miles dans le dessin et la production du drapeau de guerre confédéré.
Early versions of airborne radar were fitted to Blenheims but had limited minimum and maximum range.,Des versions primitives du radar aéroporté sont aussi montées sur des Bristol Blenheim mais elles ont des portées minimales et maximales limitées.
In 2008 a large group of protesters including members of Movement 1389 and Protest gathered in front of HCHRS's office shouting abusive threats many aimed specifically at Sonja Biserko leaving a large cardboard swastika outside the building.,En 2008 un grand groupe de manifestants comprenant des membres du Mouvement 1389 et de Protest se sont rassemblés devant le bureau du HCHRS en criant des menaces de nombreuses visant spécifiquement Sonja Biserko laissant un grand carton avec une croix gammée à l’extérieur du bâtiment.
Bodies hosted by territorial police forces National Domestic Extremism and Disorder Intelligence Unit – A police unit that is part of the Metropolitan Police Service Specialist Operations Directorate tasked with coordinating police response to domestic extremism across the United Kingdom.,Organismes hébergés par les forces de police territoriales National Domestic Extremism and Disorder Intelligence Unit (en) – Unité de police qui fait partie de la direction des opérations du Metropolitan Police Service  chargée de coordonner la réponse de la police à l’extrémisme national à travers le Royaume-Uni.
Taylor's influence is important when examining the ministry of Charles Grandison Finney the best known and most effective evangelist during the Second Great Awakening.,Taylor a été l'influence la plus importante sur Charles Grandison Finney l'un des évangélistes du second grand réveil les plus connus et les plus efficaces.
On 1 January 1559 the anonymous Beggars' Summons was posted on the doors of friaries threatening friars with eviction on the grounds that their property belonged to the genuine poor.,Janvier 1559 vit la publication par un auteur anonyme de la Sommation des mendiants qui menaçait d'expulser les moines sous le prétexte que leurs propriétés appartenaient aux véritables pauvres.
Starting 2001 he became the referent in prehistoric archaeology of the Oriental division of the German Archaeological Institute and from 2007 was corresponding member of the Institute.,En 2001 il est devenu le référent en archéologie préhistorique de l'Institut Archéologique allemand et en 2007 est devenu membre correspondant de l'Institut.
"For the 101 peasant characters in the film he created a registry consisting of 23 families and instructed the performers playing these roles to live and work as these ""families"" for the duration of shooting.",Pour les 101 personnages de paysans du film il créa un registre de 23 familles et demanda aux acteurs de vivre et travailler dans le cadre de ces « familles » pour toute la durée du tournage.
The Razor syntax is a template markup syntax based on the C# programming language that enables the programmer to use an HTML construction workflow.,La syntaxe Razor est composée de balises de moteur de template basée sur le langage de programmation C# permettant au développeur de générer un flux HTML.
At the time however there was some uncertainty over whether jet aircraft would be able to operate from the Royal Navy's aircraft carriers so it was decided to develop a naval version of the Spiteful to specification N.5/45 subsequently named Seafang.,Mais comme à cette époque il n'était pas certain que des appareils à réaction puissent opérer à partir des porte-avions de la Royal Navy il fut donc décidé de développer une version navalisée du Spiteful en accord avec le cahier des charges N.5/45.
The division fought in the Ardennes inflicting on the 106th US Infantry Division the worst defeat suffered by U.S. forces in the ETO when over 8000 US soldiers surrendered to the volksgrenadiers.,La division a combattu dans les Ardennes et malgré un personnel non-aguerri s'est montrée particulièrement efficiente : elle inflige à la 106ème division d'infanterie américaine des pertes conséquentes lorsque plus de 8 000 soldats américains (deux régiments) se sont rendus aux volksgrenadiers.
Naokatsu's lands had been taken from him in the interval by the Tokugawa shogunate and when his brother Naotaka assumed control of the area around Ōmi Province he was able to complete the castle by collecting stones from the former Sawayama Castle.,Dans l'intervalle les terres de Naokatsu lui ont été prises par le Shogunat Tokugawa et quand son frère Naotake prend le contrôle de la région autour de la province d'Ōmi il peut compléter le château en récupérant les pierres de l'ancien château de Sawayama.
At the start of the nineteenth century a wave of interest in ancient Egypt swept Europe giving rise to the discipline of Egyptology and drawing increasing numbers of visitors to the civilization's remains.,Mais au début du XIXe siècle une vague d'intérêt pour l'Égypte ancienne déferla sur l'Europe donnant naissance à la science de l'égyptologie et attirant un nombre croissant de visiteurs pour voir les restes de cette civilisation.
The latter D. louvelii is not found outside of the park.,La dernière D.louvelii n'existe plus à l'extérieur du parc.
In differential geometry the Einstein tensor (named after Albert Einstein; also known as the trace-reversed Ricci tensor) is used to express the curvature of a pseudo-Riemannian manifold.,En géométrie différentielle le tenseur d'Einstein ainsi dénommé en l'honneur d'Albert Einstein est utilisé pour exprimer la courbure d'une variété pseudo-riemannienne.
Othniel Charles Marsh discovered the first fossils of this bird in the 1870s.,Le grand spécialiste de dinosaures Othniel Charles Marsh identifia le premier les squelettes fossiles de ces oiseaux à la fin des années 1870.
The fold trends follow more or less the pyrenean direction or parallel to the thrust fronts but turn NE-SW near the Segre River (e.g. the Oliana Anticline).,Les axes de plis suivent en général la direction pyrénéenne ou la direction du front des chevauchements mais tournent au NE/SO près du Segre (par exemple l'anticlinal d'Oliana).
Paisley had been linked in press reports to local property developer Seymour Sweeney when in 2007 Sweeney admitted that Paisley had lobbied on his behalf regarding plans for a private visitors' centre at the Giant's Causeway the only UNESCO World Heritage Site in Northern Ireland.,En 2007 Sweeney a admis que Paisley avait fait du lobbying en sa faveur pour un projet de centre des visiteurs à la Chaussée des Géants classé Patrimoine Mondial de l'UNESCO dans le Nord de l'Irlande.
Although the Royal Netherlands Navy intervened—the torpedo boats Z5 and TM 51 attacked the Willemsbrug and later the destroyer HNLMS Van Galen sailed up the Nieuwe Waterweg to bombard the airfield at short range—this only resulted in the Van Galen foundering after being bombed.,Bien que la Marine royale néerlandaise soit intervenue d'abord avec les torpilleurs Z5 et TM 51 qui attaquèrent le Willemsburg et que le destroyer Hr.Ms. van Galen (nl) voguait sur la Nieuwe Waterweg pour bombarder l'aéroport à courte distance cela ne conduisit qu'au naufrage du Van Galen après avoir été bombardé.
At Delft University he formed a team with Bas Lansdorp that worked on developing kites that could retrieve energy from the sky.,C'est à l'Université de Delft qu'il a formé avec Bas Lansdorp une équipe chargée de développer des cerfs-volants capables de récupérer l'énergie du vent.
In 1861 Edward Lartet showed evidence that humans had coexisted with extinct quaternary animals whose bones had cut marks on them and subsequently the existence of cave paintings at Les Eyzies and La Madeleine.,En 1861 Edouard Lartet produisit les preuves de ce que l’Homme avait coexisté avec des animaux quaternaires aujourd’hui éteints dont les ossements trouvés présentent des entailles et révéla ensuite l’existence de peintures dans les cavernes des Eyzies et de la Madeleine.
As of August 8 transported by truck into the region Verdun; work.,À partir du 8 août transport par camions dans la région de Verdun ; travaux.
Suchet attacked the Spanish army in the Battle of Alcañiz on 23 May 1809.,Prenant l'offensive Suchet attaque l'armée espagnole lors de la bataille d'Alcañiz le 23 mai 1809.
For example the 1888 stone barracks contains a museum with artifacts from different time periods in the fort's history and visitors can tour the reconstructed trading post and an interpretive archaeological site.,Par exemple les baraquements en pierres de 1888 contiennent un musée avec des objets anciens des différentes périodes de l'histoire du fort et les visiteurs peuvent voir le poste de traite reconstitué et un site archéologique d'interprétation.
The Xplorair is a project of compact VTOL aircraft without rotating airfoil from aerospace engineer Michel Aguilar funded by the French Armed Forces procurement agency DGA and supported by various European aeronautics firms such as Dassault Systèmes EADS Innovation Works MBDA Altran Technologies Sogeti Turbomeca COMAT Aerospace and the Institut Pprime.,L'Xplorair est un projet d'aéronef à décollage et atterrissage verticaux sans voilure tournante de l'ingénieur aéronautique Michel Aguilar financé par la DGA et la DGCIS et soutenu par de multiples partenaires français du secteur aéronautique et spatial tels que Dassault Systèmes EADS Innovation Works MBDA Altran Technologies Sogeti Turbomeca COMAT Aerospace et l'Institut Pprime.
Christophe Pignol (born in 1969) former professional footballer twice champion of France (1995 2000) founder of the Christophe Pignol association to fight against leukemia.,Christophe Pignol (né en 1969) ancien footballeur professionnel double champion de France (1995 2000) fondateur de l'association Christophe Pignol visant à lutter contre la leucémie.
On 2 February 2017 Ewa Dziedzic Mariella Muller and Michaela Tulipan officially registered the NGO located in Vienna and chaired by Silvia Casalino and Mariella Müller.,Le 2 février 2017 Ewa Dziedzic Mariella Muller et Michaela Tulipan enregistrent officiellement l'ONG basée à Vienne et présidée par Silvia Casalino et Mariella Müller.
They performed only one concert that was open to the public and did so wearing masks.,Ils n'ont fait qu'un seul concert ouvert au public et portaient ce jour-là des masques.
"In 1916 Sazonova staged an opulent production of The Forces of Love in Magic at the cabaret ""Comedian’s Halt"" in Saint Petersburg.",En 1916 Sazonova met en scène une production opulente de The Forces of Love in Magic au cabaret Comedian's Halt de Saint-Pétersbourg.
There are nevertheless Orthodox authorities who recognize the efficacy of sex reassignment surgery (SRS) in changing halachic sex designation.,Néanmoins certaines autorités orthodoxes reconnaissent l'efficacité de la chirurgie de réassignation sexuelle pour changer la désignation du sexe halakhique.
However CB Mass member Curbin allegedly embezzled Epik High and TBNY's funds for their first studio album effectively causing the disbandment of CB Mass (and the creation of Dynamic Duo without Curbin).,Cependant Curbin de CB Mass a allègrement détourné les fonds qu'Epik High et TBNY pour leur premier album studio causant la séparation de CB Mass (et la création de Dynamic Duo sans Curbin).
Orlando City SC plans to maintain ties with Louisville.,Malgré ce déménagement Orlando City SC prévoit de maintenir des liens avec Louisville.
"In France companies such as Schuepbach Energy GDF Suez Total and Devon Energy obtained three exploration permits in March 2010 (permits so-called ""Montelimar"" ""Nant"" and ""Villeneuve de Berg"") for a total area of 9672 km2 in the departments of Ardèche Drôme Lozère Hérault Gard and Vaucluse.",En France Schuepbach Energy GDF Suez Total et Devon Energy ont obtenu en mars 2010 trois permis d’exploration (les permis dits de « Montélimar » de « Nant » et de « Villeneuve de Berg » ) pour une superficie totale de 9 672 km2 sur les départements de l’Ardèche de la Drôme de la Lozère de l’Hérault du Gard et du Vaucluse.
The controversy on Hrafnkels saga remains unsettled.,Le débat relatif à la saga de Hrafnkell reste ouvert.
The Northern Sporades (Skiathos Skopelos and Alonissos) were Byzantine possessions that came under Venetian rule after the Fall of Constantinople in 1453.,Les Sporades septentrionales (Skiathos Skópelos et Alonissos) possessions byzantines passent sous domination vénitienne après la chute de Constantinople en 1453.
The oldest-known inscribed stone is from Shinobu and dates to 1664.,La plus ancienne pierre gravée connue provient du mont Shinobu et date de 1664.
2016 : Serie Sans Repères represented by A2Z Art Gallery Bali Indonésie.,2016 : Série Sans Repères représenté par A2Z Art Gallery Bali Indonésie .
The city slowly grew after World War II; by 1960 it had reached its 1880 boom-time population.,La ville a grandi lentement après la Seconde Guerre mondiale pour atteindre dans les années 1960 le niveau de population qu'elle avait vers 1880.
"The Landrecht (German:  ""customary law of the region"" plural: Landrechte) was the law applying within an individual state in the Holy Roman Empire during the Middle Ages and Early Modern times.","Le Landrecht (allemand:  ""droit coutumier de la région""pluriel: Landrechte) était la loi qui s’appliquait au sein du Saint Empire romain germanique au Moyen Âge et au début de l’époque moderne."
Sporadically he received orders from the Cipher Bureau; Captain Maksymilian Ciężki chief of the Bureau's German section (BS 4) had known him since his army years.,Sporadiquement il reçoit des commandes du Biuro Szyfrów; le capitaine Maksymilian Ciężki chef du BS-4 (Section allemande) connait Fokczyński depuis l'armée.
During the Sengoku period fearing the power of the monks of the Hongan-ji Oda Nobunaga tried to destroy it.,Au cours de la période Sengoku craignant la puissance des moines du Hongan-ji Oda Nobunaga essaye de le détruire.
In all this is an area no larger than 6000 square kilometers half of the extended Silicon Valley's geographical coverage.,Au total il s'agit d'une superficie ne dépassant pas 6 000 kilomètres carrés la moitié de celle de la Silicon Valley.
He also became the President of the Council of the Churches of Africa was a member of the World Council of Churches of Geneva and a director of the Christian Institute for Peace.,Il est également devenu le président du Conseil des Églises d'Afrique ainsi que membre du Conseil œcuménique des Églises de Genève et directeur de l'Institut chrétien pour la paix.
"In 1999 Jos Stam published the ""Stable Fluids"" method which exploited a semi-Lagrangian advection technique and implicit integration of viscosity to provide unconditionally stable behaviour.",En 1999 Jos Stam a publié une méthode nommée « fluides stables » qui exploitait une technique d'advection semi-lagrangienne et une intégration implicite de la viscosité pour fournir un comportement inconditionnellement stable.
The official exchange rate was 1 franc = 0.1645 ℛℳ.,Le taux de change était de 1 franc pour 01645 reichsmark.
Nothhelm oversaw the reorganisation of the Mercian dioceses which took place in 737.,Nothhelm supervise également la réorganisation des diocèses de Mercie en 737.
Prince Kuni Asaakira was one of his classmates.,Le prince Asaakira Kuni est l'un de ses camarades de classe.
It made its début at Rallye Monte Carlo 2009 with factory team Škoda Motorsport and drivers Jan Kopecký and Juho Hänninen.,Elle a réalisé ses débuts au Rallye Monte-Carlo 2009 avec comme pilotes Jan Kopecký et Juho Hänninen.
In option Y despite the fact that the number of black balls is uncertain the probability of selecting a winning ball is also 1 in 3.,Dans l'option Y malgré le fait que le nombre de boules noires soit incertain la probabilité de choisir une boule gagnante est également de 1 sur 3.
The degree d Schur polynomials in n variables are a linear basis for the space of homogeneous degree d symmetric polynomials in n variables.,Les polynômes de Schur de degré d en n variables forment une base de l'espace des polynômes symétriques homogènes de degré d en n variables.
"Zenshūyo (禅宗様 ""Zen style"") is a Japanese Buddhist architectural style derived from Chinese Song Dynasty architecture.",Le zenshūyo (禅宗様 lit. « style Zen »?) est un style d'architecture bouddhiste japonais dérivé de l'architecture de la dynastie Song chinoise.
In the months leading up to Yeates' death Tabak had used his computer to research escort agencies during business trips in the United Kingdom and United States and contacted several sex workers by phone.,Dans les mois précédents la mort de Joanna Yeates Vincent Tabak utilise son ordinateur pour communiquer avec des agences d'escorte féminines lorsqu'il voyage par affaires au Royaume-Uni et aux États-Unis et téléphone à des prostitués.
More recent major contributors to the genre include Ralph Vaughan Williams Granville Bantock Arnold Bax Peter Warlock Gustav Holst and Benjamin Britten.,Parmi les récents contributeurs importants de ce genre musical figurent Ralph Vaughan Williams Granville Bantock Arnold Bax Peter Warlock Gustav Holst et Benjamin Britten.
Albanian iso-polyphony is a traditional part of Albanian folk music and as such is included in UNESCO's intangible cultural heritage list.,L'Iso-polyphonie albanaise est une forme musicale traditionnelle de musique albanaise incluse par l'UNESCO sur la liste représentative du patrimoine culturel immatériel de l'humanité.
It has three schools.,Il y a trois écoles.
Five days later she spoke on Wall Street to an estimated 50000 people.,Cinq jours plus tard elle s'exprime à Wall Street devant une foule estimée à 50 000 personnes.
The island is visited annually by some 4000 tourists.,L'île est visitée chaque année par quelque 4 000 touristes.
His support for the Kansas–Nebraska Act and his determination to enforce the Fugitive Slave Act helped polarize the sections.,Son soutien à l'acte Kansas-Nebraska et sa détermination à appliquer le Fugitive Slave Act aggravèrent les divisions.
The HF120 engine’s components interact with greater efficiency by incorporating 3D aerodynamic design and its effusion-cooled combustor design emits few NOx CO and HC.,Les composants du HF120 interagissent avec une meilleure efficacité grâce à l'emploi de conception tridimensionnelle assistée par ordinateur et sa chambre de combustion refroidie par diffusion émet peu d'oxydes d'azote monoxydes de carbone et hydrocarbures imbrûlés.
The Japanese were consolidating their position in Burma.,Les Japonais consolident leurs positions en Birmanie.
Conclusions reached by three separate official commissions set up to investigate the issue unanimously found that the majority of the children were buried having died from diseases.,Les différentes commissions officielles israéliennes qui se sont penchées sur la question ont conclu que la grande majorité d'entre eux sont morts de maladie.
"The song was performed 20th (last) on the night following Belgium's Pas de Deux with ""Rendez-vous"".",Il s'agit de la vingtième et dernière chanson interprétée lors de la soirée après Pas de deux qui représentaient la Belgique avec Rendez-vous.
According to tradition the Apostle Paul wrote the letter while he was in prison in Rome (around AD 62).,Selon la tradition Paul de Tarse aurait écrit cette lettre alors qu'il se trouvait à Rome (vers 61-62).
